2ndFlrSF,BsmtFinSF1,GarageArea,OverallQual,TotalBsmtSF
0.0,624,520,6,1248
0.0,958,440,6,958
795.0,0,370,6,833
0.0,1116,490,4,1281
0.0,560,400,6,1158
,94,220,6,735
0.0,432,288,5,892
0.0,510,240,5,788
0.0,0,0,5,1140
813.0,400,483,6,780
912.0,156,551,6,848
981.0,765,812,10,1017
0.0,0,216,5,691
,0,676,8,768
639.0,444,325,6,994
776.0,0,442,7,994
884.0,550,543,7,884
1796.0,1387,807,10,1930
,1258,403,6,1298
0.0,1247,484,7,1501
0.0,553,0,5,630
0.0,397,440,6,1103
319.0,0,384,4,859
0.0,197,440,4,1196
,0,529,7,1372
0.0,371,296,6,1099
0.0,0,626,7,1422
874.0,985,501,6,1580
0.0,0,440,4,1121
1330.0,0,852,8,1143
0.0,417,576,5,1057
0.0,1097,602,5,1097
1106.0,524,671,8,1152
0.0,0,746,9,2002
714.0,438,440,6,672
871.0,0,1043,8,1082
0.0,733,462,8,1337
1288.0,0,648,8,969
0.0,1288,826,8,1705
0.0,516,484,5,1024
0.0,0,660,7,1373
0.0,1406,567,7,1902
1216.0,1216,693,7,1216
0.0,1086,528,5,1086
0.0,602,460,6,1054
1336.0,854,676,8,1225
0.0,599,288,5,876
,692,484,7,845
703.0,378,299,6,689
0.0,899,576,5,1109
768.0,180,240,5,1208
208.0,0,208,6,862
611.0,0,502,6,611
1286.0,0,429,7,975
668.0,0,250,4,649
0.0,1004,928,8,1734
0.0,0,312,6,1194
540.0,0,720,5,876
0.0,1064,354,5,1383
1001.0,284,871,5,1001
0.0,0,474,8,1496
620.0,408,660,5,984
0.0,0,504,5,680
755.0,0,476,6,741
0.0,0,840,7,1494
0.0,0,180,6,960
0.0,16,397,7,1145
742.0,0,0,6,742
0.0,111,525,6,819
581.0,0,686,5,650
1370.0,0,656,9,1122
0.0,0,528,4,600
989.0,975,583,7,1108
1538.0,2260,884,10,3138
390.0,0,624,6,698
0.0,495,0,4,720
0.0,0,830,8,1580
0.0,1440,0,4,1440
,193,540,6,738
0.0,20,570,7,1500
464.0,0,216,5,884
0.0,661,884,5,864
0.0,609,514,6,1394
832.0,400,484,6,800
0.0,842,336,5,912
1254.0,1128,864,6,1370
0.0,0,349,5,1140
548.0,0,440,5,440
1178.0,297,440,8,853
728.0,0,429,6,728
0.0,375,660,4,864
739.0,0,380,6,970
855.0,643,528,8,810
1274.0,987,656,7,1347
,0,595,7,798
685.0,440,420,3,978
0.0,1116,529,4,1364
0.0,1332,504,5,1728
790.0,0,462,6,1055
831.0,536,440,6,822
0.0,0,776,8,1489
0.0,612,300,6,864
0.0,830,276,5,1256
0.0,816,816,5,816
918.0,454,492,7,864
1215.0,48,833,7,1104
0.0,0,461,5,1065
0.0,0,312,6,1200
0.0,686,632,7,1187
1349.0,0,642,8,1094
,919,527,7,1720
0.0,116,0,5,672
0.0,1200,496,6,1278
0.0,980,450,5,1090
,0,420,8,1141
0.0,716,440,5,969
0.0,0,1248,3,894
,0,360,5,1008
979.0,484,492,6,979
0.0,0,895,8,1795
0.0,1646,606,9,1930
0.0,1084,439,5,1176
672.0,156,400,6,672
0.0,0,554,7,1417
0.0,460,338,5,864
495.0,236,200,5,616
790.0,310,420,6,680
0.0,0,440,6,1116
,414,288,6,864
0.0,1213,498,5,1297
0.0,607,264,5,1113
0.0,679,577,7,1490
783.0,24,614,7,756
956.0,222,678,7,991
0.0,0,908,8,1709
0.0,504,440,6,1010
886.0,862,455,7,1117
0.0,0,388,7,1266
876.0,240,716,9,1992
1276.0,300,554,7,952
0.0,24,494,7,1414
785.0,814,471,6,928
741.0,550,434,6,713
430.0,0,528,4,698
0.0,522,358,6,1096
0.0,936,574,6,1728
762.0,1361,711,8,1629
0.0,1324,452,5,1437
530.0,902,400,7,1156
0.0,655,400,7,856
0.0,24,484,8,1370
0.0,528,480,6,1680
739.0,0,380,7,970
,358,264,6,483
901.0,352,216,7,793
1175.0,503,360,6,952
0.0,663,264,6,1059
0.0,165,533,6,1604
0.0,777,336,6,1244
0.0,0,252,4,700
623.0,0,480,7,600
0.0,625,612,6,1686
0.0,1513,800,8,1638
0.0,594,264,5,864
858.0,0,639,7,939
0.0,0,462,4,0
873.0,735,839,7,992
0.0,846,308,5,1056
1174.0,0,820,9,1926
0.0,506,492,6,506
0.0,1369,636,8,1686
709.0,714,413,6,802
0.0,731,246,5,1057
1044.0,0,560,4,777
806.0,1002,786,7,1204
1523.0,1470,594,7,1673
807.0,0,512,7,880
0.0,251,457,6,1372
0.0,16,437,7,1346
,0,648,8,1053
628.0,510,462,7,600
0.0,588,264,5,999
622.0,0,528,4,622
0.0,312,490,6,1127
0.0,1059,702,9,1626
1218.0,0,853,8,1158
551.0,0,352,5,540
676.0,182,388,6,794
0.0,1201,532,7,1541
0.0,133,0,4,1440
0.0,786,438,7,868
0.0,437,481,8,1494
,1170,738,9,1462
523.0,0,186,5,731
1242.0,281,683,8,1028
850.0,442,540,6,816
703.0,495,504,7,1064
,863,550,8,1324
546.0,0,330,6,912
0.0,24,440,6,1314
0.0,430,529,6,1575
0.0,1022,912,9,1620
684.0,0,304,4,1104
0.0,187,240,6,814
0.0,790,500,6,1542
677.0,0,492,8,776
875.0,0,225,7,815
0.0,988,576,5,1188
0.0,297,508,7,1568
0.0,468,0,5,864
576.0,129,336,5,536
1121.0,700,746,7,700
518.0,0,210,4,686
0.0,0,216,4,656
698.0,0,384,6,698
0.0,1445,834,9,1856
551.0,1288,789,8,1582
0.0,1246,529,6,1602
672.0,0,280,5,630
702.0,457,393,6,783
0.0,737,352,5,912
,399,420,6,1004
304.0,423,576,6,1181
0.0,0,220,4,747
0.0,0,420,4,0
829.0,0,493,7,831
665.0,218,308,5,1026
0.0,398,720,5,864
0.0,623,264,6,744
829.0,361,564,7,963
862.0,0,474,7,764
0.0,428,472,8,1476
1818.0,0,870,7,1470
0.0,1572,840,9,1652
0.0,0,350,5,1276
,120,271,6,856
472.0,0,0,4,720
0.0,747,504,5,840
,1065,454,7,1157
0.0,0,392,5,0
883.0,0,532,7,728
688.0,0,336,5,264
684.0,0,216,6,684
765.0,0,379,3,840
0.0,1436,900,10,2006
625.0,0,528,7,625
0.0,1456,757,8,1624
0.0,565,360,4,845
0.0,1071,418,5,1389
0.0,0,480,5,968
546.0,0,286,4,546
0.0,685,420,6,848
0.0,374,308,5,1269
0.0,170,288,5,1092
795.0,795,539,7,795
0.0,228,283,4,952
716.0,0,0,4,736
0.0,841,504,5,1039
0.0,866,412,6,1204
0.0,422,672,6,1029
0.0,485,701,7,2158
0.0,595,328,5,985
0.0,1124,880,8,3206
600.0,0,216,7,861
0.0,560,484,5,980
1129.0,728,590,7,1095
602.0,0,180,6,602
626.0,0,432,6,697
1028.0,789,836,8,1034
0.0,0,0,2,264
0.0,0,840,8,1573
0.0,1336,774,8,1932
0.0,666,404,5,1075
0.0,450,280,5,882
,1172,786,10,1700
661.0,0,240,5,636
1015.0,719,834,7,1379
1194.0,0,680,8,774
0.0,810,532,7,1536
0.0,203,200,3,864
0.0,1231,546,8,3200
631.0,1351,670,7,1434
1320.0,0,864,7,1240
0.0,0,530,7,1304
1060.0,0,878,8,1030
0.0,553,360,5,864
800.0,562,530,5,784
,338,480,6,1040
512.0,0,528,6,684
668.0,57,451,5,1052
0.0,231,576,5,1728
903.0,804,577,8,1128
0.0,616,297,6,1196
0.0,116,360,5,720
840.0,493,462,5,780
0.0,1721,1134,8,2077
0.0,0,617,9,1869
930.0,0,431,7,930
0.0,50,308,2,480
0.0,0,516,4,0
0.0,690,288,4,816
,704,478,7,1271
830.0,0,451,6,936
1168.0,1012,796,8,1338
0.0,748,796,5,1144
1611.0,0,621,5,612
605.0,0,312,6,972
0.0,630,624,5,970
0.0,1236,513,7,2136
,439,440,6,1026
0.0,0,0,5,698
0.0,655,576,7,1533
0.0,360,660,5,720
0.0,16,530,7,1391
0.0,49,240,5,1078
0.0,1005,471,8,1267
0.0,608,301,6,1442
940.0,0,0,5,940
0.0,0,644,7,1502
0.0,1040,458,6,1392
0.0,0,0,4,1768
0.0,812,390,5,1624
0.0,498,301,6,958
0.0,777,600,5,894
0.0,883,402,6,1224
590.0,1280,846,10,1682
0.0,24,430,8,1256
0.0,80,712,8,1732
728.0,0,390,6,728
0.0,655,539,6,655
0.0,643,240,5,1008
0.0,16,430,7,1373
892.0,0,180,5,747
0.0,0,280,7,637
640.0,0,400,5,384
734.0,394,496,7,980
0.0,0,294,5,0
0.0,0,0,3,728
591.0,0,288,6,626
0.0,495,299,5,990
1320.0,0,691,8,1117
0.0,685,420,6,848
672.0,551,300,6,672
0.0,27,676,6,1218
748.0,0,672,6,588
0.0,1039,550,8,1247
1330.0,896,619,6,1330
0.0,1480,482,8,1600
0.0,705,546,6,1844
858.0,341,689,7,1113
793.0,0,463,6,982
887.0,750,574,7,1050
0.0,150,0,4,630
0.0,922,530,7,1494
,0,0,3,600
0.0,925,508,7,1274
0.0,674,364,6,1156
0.0,0,528,6,660
702.0,0,393,7,783
793.0,0,550,7,793
0.0,816,0,6,816
0.0,833,555,7,1176
,0,548,4,941
0.0,639,528,6,1080
0.0,0,240,5,768
0.0,0,818,8,1694
0.0,1274,765,8,1800
915.0,0,560,5,662
678.0,196,315,6,1040
0.0,505,576,6,940
0.0,0,408,5,876
0.0,936,484,5,1126
1332.0,970,872,8,1136
0.0,938,540,6,938
0.0,1016,288,5,1052
524.0,0,0,6,572
0.0,0,484,6,1141
778.0,247,484,6,732
848.0,668,660,8,1004
0.0,490,0,6,520
720.0,0,513,5,624
0.0,912,576,7,1947
1051.0,0,360,6,907
1540.0,575,831,8,1142
0.0,659,484,7,1364
0.0,0,402,7,1237
0.0,569,528,6,1328
0.0,0,286,5,978
800.0,454,486,7,768
0.0,0,192,6,952
0.0,1220,500,8,1660
0.0,1904,1166,9,2216
0.0,384,160,6,768
0.0,24,396,7,1340
0.0,1200,480,6,1610
1259.0,498,600,5,1361
0.0,16,438,7,1248
0.0,832,288,6,912
,828,472,6,943
0.0,1159,1356,4,1249
884.0,774,180,6,1028
0.0,572,456,5,1144
672.0,182,281,5,793
0.0,196,472,6,1516
0.0,0,675,7,1498
1157.0,690,560,6,804
728.0,0,440,7,728
1196.0,0,349,7,1032
0.0,1274,708,9,1896
0.0,0,474,7,1368
908.0,633,588,7,873
1237.0,1330,858,9,1452
551.0,0,312,5,720
,929,604,7,1845
900.0,828,577,7,1190
914.0,706,546,6,794
0.0,0,436,7,1302
0.0,1104,542,8,2524
534.0,315,338,4,840
862.0,567,474,7,764
299.0,0,240,5,735
,1218,588,8,1518
592.0,224,240,7,1040
0.0,0,598,7,1649
895.0,297,432,6,854
650.0,624,324,7,650
0.0,1148,564,8,1742
564.0,0,280,5,686
0.0,0,528,6,816
988.0,789,506,8,908
403.0,388,240,6,940
0.0,831,377,6,992
1103.0,544,552,8,832
0.0,0,534,8,1777
1081.0,0,434,7,847
0.0,673,336,5,1051
601.0,311,440,6,855
817.0,341,431,7,798
0.0,1460,880,8,1868
0.0,1165,665,8,1565
860.0,533,663,7,814
0.0,212,0,5,974
898.0,932,586,8,1065
1017.0,50,678,7,1080
0.0,0,500,7,1424
,821,720,5,1120
687.0,329,240,7,1026
741.0,0,583,6,689
1312.0,0,666,8,1234
240.0,0,0,5,780
679.0,0,779,4,1095
0.0,350,0,1,683
709.0,641,490,7,673
1518.0,0,840,10,1107
1032.0,0,205,6,1008
766.0,0,373,6,806
0.0,1219,739,7,1643
0.0,775,304,5,1056
272.0,392,392,5,784
0.0,288,504,6,1362
0.0,697,420,6,848
0.0,20,527,7,1454
,664,628,7,1208
370.0,626,566,5,796
0.0,1314,691,8,1986
1093.0,1173,983,7,1311
0.0,904,626,7,1314
739.0,0,380,7,970
546.0,0,0,6,672
1440.0,256,0,6,1440
0.0,1200,0,5,1200
0.0,111,297,5,912
1872.0,1455,832,10,2444
854.0,706,548,7,856
1140.0,0,656,8,1181
704.0,275,234,7,704
0.0,176,528,5,1466
0.0,565,292,6,1383
0.0,0,410,5,0
0.0,716,576,5,990
728.0,364,240,7,918
1020.0,0,440,6,1020
685.0,315,550,7,539
743.0,700,541,8,1683
1020.0,500,576,6,952
567.0,672,240,4,672
600.0,0,480,7,600
672.0,456,468,5,672
828.0,0,500,7,840
0.0,0,400,3,0
0.0,234,576,5,900
0.0,338,812,5,1559
0.0,492,248,4,864
,543,264,6,923
0.0,24,782,7,1552
,216,642,7,756
0.0,570,440,5,1461
504.0,330,264,6,483
0.0,334,521,6,1200
568.0,292,281,5,768
0.0,553,336,5,894
0.0,0,336,5,0
0.0,885,528,7,1053
0.0,72,576,5,1063
0.0,547,459,4,1051
1306.0,565,721,7,1203
0.0,585,297,6,1215
1323.0,740,844,8,1165
600.0,0,480,7,600
0.0,1606,560,5,1728
808.0,0,480,7,576
985.0,1074,870,8,1396
730.0,402,457,7,996
843.0,0,562,7,813
1414.0,984,792,7,1264
0.0,616,528,4,864
0.0,344,234,4,672
0.0,328,564,5,1164
,120,440,6,1078
0.0,0,550,7,1710
0.0,633,502,5,1219
0.0,0,400,8,1273
472.0,0,576,5,927
0.0,0,766,7,1907
0.0,0,0,5,1008
0.0,0,0,5,0
983.0,859,484,7,1107
0.0,698,461,5,1214
0.0,306,454,5,1763
0.0,1300,808,8,1616
0.0,24,627,8,1554
1243.0,0,642,7,964
0.0,0,0,4,796
840.0,0,308,6,840
0.0,686,420,6,848
0.0,874,528,5,1142
0.0,429,564,6,1602
0.0,28,564,9,1684
0.0,1464,888,8,2000
0.0,0,834,7,1616
573.0,990,531,8,1299
534.0,0,225,5,1042
807.0,421,575,7,807
0.0,534,276,5,876
0.0,976,620,8,1844
0.0,656,528,6,1258
0.0,786,500,8,1260
0.0,0,866,8,1626
,257,440,6,855
707.0,0,403,8,707
0.0,690,478,7,1504
0.0,0,690,7,1670
651.0,125,518,7,1192
0.0,559,440,6,1069
0.0,547,525,6,547
0.0,1159,995,5,1572
561.0,1088,456,5,1088
0.0,0,0,4,882
0.0,1249,676,9,1922
0.0,632,352,5,780
580.0,0,300,5,533
0.0,1274,430,7,1530
0.0,625,0,5,833
504.0,331,308,3,649
0.0,659,260,5,1040
1362.0,1150,1052,8,1466
220.0,280,288,6,1032
0.0,340,305,5,1246
0.0,0,180,6,884
686.0,686,416,5,686
0.0,375,288,5,832
741.0,0,342,6,896
,733,484,7,1358
0.0,1237,484,6,1657
0.0,210,275,6,816
1038.0,772,390,7,992
862.0,573,474,7,764
689.0,371,299,6,663
408.0,368,240,5,768
811.0,326,240,6,715
796.0,0,432,6,616
713.0,0,216,6,756
656.0,0,400,7,384
0.0,500,495,6,1094
0.0,1422,758,8,1814
252.0,0,576,5,672
0.0,368,528,8,1488
1072.0,462,603,6,616
0.0,905,572,6,1262
0.0,0,788,9,1905
878.0,252,541,7,1153
0.0,0,478,6,1064
888.0,483,613,7,941
0.0,641,300,5,828
252.0,348,280,4,672
1208.0,0,905,8,1055
872.0,626,540,6,1127
0.0,916,528,7,1242
584.0,0,240,4,884
1151.0,0,434,7,884
0.0,660,516,6,1232
866.0,403,483,7,803
348.0,0,0,4,576
0.0,702,450,5,894
1142.0,619,619,6,1054
0.0,660,396,5,768
,0,0,4,0
1040.0,650,504,5,1040
0.0,732,576,5,1040
467.0,370,216,6,1149
0.0,0,273,4,641
0.0,168,484,5,1134
0.0,0,528,6,832
0.0,180,384,5,894
596.0,0,189,5,596
0.0,1261,772,9,1833
0.0,450,288,5,864
0.0,340,264,5,864
1031.0,1046,506,6,1214
1063.0,0,360,5,849
678.0,0,470,6,926
1134.0,0,422,7,868
0.0,280,308,5,938
514.0,0,216,7,912
992.0,220,400,5,928
0.0,902,260,5,1098
0.0,0,0,3,270
0.0,0,528,6,1252
0.0,0,792,5,1584
0.0,0,592,9,1498
0.0,1238,506,9,1698
0.0,895,299,5,1092
0.0,1320,758,9,1746
983.0,603,667,7,1304
0.0,0,200,5,768
0.0,991,270,5,1041
915.0,0,431,8,967
1257.0,0,390,6,1010
0.0,209,180,5,715
0.0,383,364,5,1216
0.0,1567,714,6,1567
1088.0,0,1020,9,1734
689.0,141,360,7,689
457.0,0,368,4,715
896.0,831,521,6,1151
0.0,812,286,5,936
880.0,0,440,7,840
0.0,504,338,5,1050
0.0,814,576,6,1114
,567,750,5,1008
0.0,1153,682,8,1593
,695,318,5,1214
0.0,641,264,5,816
0.0,0,400,5,0
1360.0,1036,795,8,1360
840.0,0,685,8,1079
0.0,0,672,5,1097
767.0,660,423,6,983
504.0,0,288,6,483
0.0,282,576,6,981
0.0,1018,447,5,1398
0.0,708,308,5,816
896.0,666,622,7,944
1230.0,837,576,6,942
0.0,828,902,5,1002
,0,294,4,721
0.0,747,564,6,936
0.0,1088,856,8,1713
0.0,1005,576,6,1392
0.0,600,923,6,912
0.0,633,648,4,1064
0.0,1180,608,8,1595
0.0,528,601,6,1184
975.0,649,576,7,975
0.0,320,490,5,1086
504.0,1309,528,5,1324
0.0,619,624,5,768
0.0,982,676,6,1161
885.0,0,647,8,1284
,0,287,3,0
1208.0,493,520,6,1510
0.0,0,576,4,936
0.0,920,588,4,1138
0.0,0,954,7,1689
0.0,732,280,4,948
756.0,420,440,6,756
0.0,492,450,5,894
920.0,822,644,7,900
0.0,0,290,4,0
0.0,544,0,3,544
1185.0,816,666,8,2033
,724,632,7,1232
0.0,0,528,7,1164
336.0,324,160,5,912
0.0,353,572,5,747
1100.0,625,440,6,860
,273,286,4,546
0.0,552,400,4,894
0.0,1013,558,7,1453
0.0,188,270,5,1060
0.0,946,484,7,1436
0.0,0,504,5,540
888.0,390,320,7,880
0.0,538,432,6,816
656.0,250,400,7,384
0.0,379,303,5,1617
0.0,1070,648,7,1356
0.0,419,312,4,1100
0.0,546,264,5,816
,967,308,5,1350
568.0,1338,842,10,1722
0.0,167,572,5,864
0.0,0,453,7,1257
,614,0,4,858
878.0,426,506,6,832
351.0,0,264,4,732
694.0,0,460,6,953
0.0,510,288,5,864
0.0,0,522,8,1753
,1186,416,6,1477
780.0,381,484,5,780
0.0,528,588,5,1626
668.0,285,462,6,561
0.0,0,890,8,1566
684.0,0,460,6,916
448.0,0,240,5,896
0.0,767,540,5,1126
0.0,658,264,5,876
0.0,616,205,5,616
0.0,0,0,5,1800
0.0,1024,505,6,1505
0.0,1283,621,5,1430
0.0,1024,451,4,1132
836.0,821,470,6,928
441.0,0,240,4,0
748.0,0,336,6,804
0.0,16,457,7,1346
0.0,256,220,3,1162
756.0,436,440,6,756
0.0,560,288,5,935
0.0,0,270,6,813
896.0,603,230,5,896
797.0,1085,514,7,1475
648.0,420,282,5,910
832.0,194,528,7,832
0.0,1065,522,7,2110
881.0,648,684,6,824
550.0,548,336,5,757
576.0,0,256,5,811
732.0,0,380,7,976
649.0,600,440,6,912
648.0,664,520,5,954
975.0,642,493,7,915
0.0,504,506,5,931
0.0,0,573,7,1212
596.0,0,672,7,952
,400,384,5,980
,296,470,6,1073
0.0,1056,384,4,1056
0.0,0,484,8,1234
672.0,0,440,5,630
371.0,0,0,6,319
0.0,685,576,5,858
1142.0,998,736,9,1175
0.0,0,414,5,105
813.0,674,442,6,780
876.0,0,400,6,684
0.0,0,630,5,0
0.0,616,582,8,1338
0.0,593,312,5,1188
0.0,0,527,7,1459
954.0,1201,533,7,1306
0.0,0,605,7,1413
0.0,290,0,5,996
0.0,787,504,6,1092
625.0,0,625,7,625
864.0,0,572,7,864
0.0,0,280,5,924
0.0,300,530,6,1199
0.0,0,300,5,948
0.0,338,429,5,925
0.0,108,366,5,458
886.0,0,610,8,1580
941.0,445,487,7,924
0.0,840,572,5,1040
0.0,1282,804,10,2633
,0,280,5,993
711.0,0,460,6,953
0.0,0,360,6,784
0.0,641,473,6,1196
0.0,1059,284,4,1134
0.0,540,244,5,1268
0.0,0,480,7,1428
0.0,631,352,6,1041
0.0,486,275,5,1008
0.0,0,860,8,1622
864.0,503,673,6,864
0.0,250,322,5,952
0.0,369,286,5,1040
0.0,0,511,8,1686
,0,462,7,935
0.0,1302,528,5,1392
0.0,428,270,5,608
742.0,0,390,6,742
0.0,523,300,5,971
0.0,539,539,6,1029
0.0,945,0,6,945
0.0,0,478,7,1405
712.0,786,472,6,959
0.0,788,495,5,1056
720.0,0,672,5,0
0.0,0,264,6,918
0.0,1157,528,5,1437
0.0,360,440,6,1069
727.0,298,441,6,727
1070.0,624,510,7,817
0.0,0,895,8,1935
1080.0,0,564,7,710
0.0,662,420,6,848
670.0,0,400,7,384
0.0,480,260,5,1056
0.0,301,484,5,864
0.0,605,564,6,1032
0.0,0,338,5,961
0.0,600,480,5,1235
0.0,738,719,7,910
504.0,387,264,6,483
0.0,975,504,6,975
0.0,288,0,5,1006
780.0,210,0,5,780
,0,565,7,860
0.0,250,308,4,960
0.0,1334,660,7,1604
