GarageArea,GarageYrBlt,GrLivArea,OverallQual,TotalBsmtSF
296,1962.0,1431,6,1099
626,2004.0,1422,7,1422
501,1992.0,1953,6,1580
440,2003.0,1121,4,1121
852,2004.0,2473,8,1143
576,1977.0,1057,5,1057
602,1978.0,1110,5,1097
671,1999.0,2270,8,1152
746,2009.0,2018,9,2002
440,1978.0,1386,6,672
1043,2005.0,1953,8,1082
462,1993.0,1337,8,1337
648,2000.0,2285,8,969
826,2007.0,1718,8,1705
484,1966.0,1086,5,1024
660,2007.0,1555,7,1373
567,1959.0,1902,7,1902
693,1990.0,2514,7,1216
528,1979.0,1224,5,1086
460,1969.0,1054,6,1054
676,1998.0,2612,8,1225
288,1967.0,902,5,876
484,1983.0,2353,7,845
299,1977.0,1392,6,689
576,1987.0,1155,5,1109
240,1950.0,1904,5,1208
208,1929.0,1158,6,862
502,1920.0,1362,6,611
429,1999.0,2291,7,975
250,1920.0,1317,4,649
928,2007.0,1734,8,1734
312,1959.0,1194,6,1194
720,1949.0,1416,5,876
354,1954.0,1383,5,1383
871,1949.0,2002,5,1001
474,2007.0,1496,8,1496
660,1977.0,1604,5,984
504,1965.0,764,5,680
476,1985.0,1732,6,741
840,2006.0,1494,7,1494
180,1926.0,986,6,960
397,2005.0,1145,7,1145
0,,1484,6,742
525,1958.0,1344,6,819
686,1983.0,1539,5,650
656,2005.0,2504,9,1122
528,1953.0,747,4,600
583,1998.0,2097,7,1108
884,2007.0,4676,10,3138
624,1999.0,1176,6,698
0,,720,4,720
830,2008.0,1580,8,1580
0,,1440,4,1440
540,2005.0,1476,6,738
570,2004.0,1500,7,1500
216,1960.0,1348,5,884
884,1977.0,1200,5,864
514,1963.0,1394,6,1394
484,1966.0,1632,6,800
336,1974.0,912,5,912
864,1918.0,2624,6,1370
349,1962.0,1696,5,1140
440,1966.0,1230,5,440
440,1932.0,2727,8,853
429,2006.0,1456,6,728
660,1989.0,864,4,864
380,2004.0,1709,6,970
528,2001.0,1665,8,810
656,1993.0,2646,7,1347
595,2003.0,1640,7,798
420,1920.0,1699,3,978
529,1954.0,1663,4,1364
504,1963.0,1728,5,1728
462,1992.0,1845,6,1055
440,1964.0,1851,6,822
776,2006.0,1489,8,1489
300,2008.0,864,6,864
276,1965.0,1256,5,1256
816,1985.0,816,5,816
492,1965.0,1820,7,864
833,1991.0,2127,7,1104
461,1974.0,1065,5,1065
312,1923.0,1200,6,1200
632,2006.0,1208,7,1187
642,2005.0,2482,8,1094
527,1996.0,1720,7,1720
0,,840,5,672
496,1991.0,1294,6,1278
450,2005.0,1090,5,1090
420,1998.0,2263,8,1141
440,1975.0,969,5,969
1248,1994.0,894,3,894
360,1927.0,1028,5,1008
492,1946.0,1958,6,979
895,2007.0,1795,8,1795
606,2010.0,1940,9,1930
439,1973.0,1178,5,1176
400,1934.0,1482,6,672
554,2008.0,1428,7,1417
338,1972.0,864,5,864
200,1941.0,1111,5,616
420,1993.0,1470,6,680
440,1962.0,1116,6,1116
288,1959.0,864,6,864
498,1954.0,1297,5,1297
264,1950.0,1113,5,1113
577,1999.0,1501,7,1490
614,2009.0,1547,7,756
678,2004.0,1947,7,991
908,2006.0,1717,8,1709
440,1971.0,1052,6,1010
455,1997.0,2013,7,1117
388,2007.0,1266,7,1266
716,2005.0,2868,9,1992
554,2000.0,2256,7,952
494,2004.0,1414,7,1414
471,1994.0,1721,6,928
434,1975.0,1552,6,713
528,1980.0,1128,4,698
358,1977.0,1118,6,1096
574,1976.0,1728,6,1728
711,1994.0,2448,8,1629
452,1968.0,1473,5,1437
400,1990.0,1717,7,1156
400,2005.0,1166,7,856
484,2006.0,1370,8,1370
480,1967.0,1724,6,1680
380,2004.0,1709,7,970
264,1971.0,987,6,483
216,1920.0,1802,7,793
360,1932.0,2345,6,952
264,1963.0,1068,6,1059
533,1993.0,1617,6,1604
336,1957.0,1244,6,1244
252,1922.0,1180,4,700
480,2005.0,1223,7,600
612,1980.0,1686,6,1686
800,2008.0,1646,8,1638
264,1961.0,1144,5,864
639,2006.0,1797,7,939
462,1962.0,1224,4,0
839,2000.0,1865,7,992
308,1958.0,1056,5,1056
820,2009.0,3140,9,1926
492,1978.0,1212,6,506
636,2004.0,1694,8,1686
413,1997.0,1511,6,802
246,1953.0,1057,5,1057
560,1971.0,2290,4,777
786,1988.0,2183,7,1204
594,1990.0,3222,7,1673
512,1996.0,1716,7,880
457,1967.0,1342,6,1372
437,2005.0,1504,7,1346
648,2003.0,1992,8,1053
462,1999.0,1252,7,600
264,1963.0,999,5,999
528,1966.0,1363,4,622
490,1966.0,1165,6,1127
702,2002.0,1668,9,1626
853,2005.0,2376,8,1158
352,1940.0,1440,5,540
388,1997.0,1470,6,794
532,2005.0,1541,7,1541
0,,1440,4,1440
438,2003.0,1146,7,868
481,1995.0,1494,8,1494
738,2004.0,2224,9,1462
186,1921.0,1343,5,731
683,1998.0,2452,8,1028
540,1964.0,1977,6,816
504,1987.0,1767,7,1064
550,2006.0,1324,8,1324
330,1948.0,1458,6,912
440,2006.0,1314,6,1314
529,1992.0,1575,6,1575
912,2008.0,1620,9,1620
304,1957.0,1788,4,1104
240,1990.0,913,6,814
500,1978.0,2073,6,1542
492,1999.0,1441,8,776
225,1916.0,1690,7,815
576,1999.0,1437,5,1188
508,1968.0,2156,7,1568
0,,864,5,864
336,1976.0,1112,5,536
746,1990.0,2243,7,700
210,1940.0,1328,4,686
216,1928.0,968,4,656
384,2003.0,1396,6,698
834,2010.0,1856,9,1856
789,2007.0,2161,8,1582
529,1977.0,1602,6,1602
280,1991.0,1302,5,630
393,2002.0,1509,6,783
352,1962.0,912,5,912
420,1950.0,1664,6,1004
576,1925.0,1694,6,1181
220,1945.0,747,4,747
420,1950.0,1040,4,0
493,2002.0,1660,7,831
308,1924.0,1691,5,1026
720,1980.0,864,5,864
264,1984.0,752,6,744
564,2001.0,1792,7,963
474,2003.0,1626,7,764
472,2006.0,1484,8,1476
870,2003.0,3493,7,1470
840,2006.0,1652,9,1652
350,1958.0,1276,5,1276
271,1950.0,1668,6,856
0,,1192,4,720
504,1983.0,884,5,840
454,1988.0,2062,7,1157
392,1967.0,827,5,0
532,1997.0,2019,7,728
336,1976.0,1304,5,264
216,1930.0,1368,6,684
379,1915.0,1605,3,840
900,2009.0,2020,10,2006
528,2006.0,1250,7,625
757,1994.0,1624,8,1624
360,1987.0,845,4,845
418,1975.0,1389,5,1389
480,1935.0,968,5,968
286,1970.0,1092,4,546
420,2003.0,848,6,848
308,1964.0,1269,5,1269
288,1962.0,1092,5,1092
539,1977.0,2263,7,795
283,1956.0,952,4,952
0,,1452,4,736
504,1965.0,1039,5,1039
412,1998.0,1204,6,1204
672,1976.0,1117,6,1029
701,1990.0,2196,7,2158
328,1977.0,985,5,985
880,2003.0,1629,8,3206
216,1928.0,1477,7,861
484,1986.0,980,5,980
590,1992.0,2295,7,1095
180,1923.0,1502,6,602
432,1966.0,2201,6,697
836,2008.0,2078,8,1034
0,,800,2,264
840,2008.0,1578,8,1573
774,2008.0,1932,8,1932
404,1960.0,1507,5,1075
280,1970.0,900,5,882
786,2008.0,1718,10,1700
240,1937.0,1750,5,636
834,1996.0,2398,7,1379
680,2009.0,1968,8,774
532,2002.0,1536,7,1536
200,1938.0,864,3,864
546,1992.0,3228,8,3200
670,2003.0,2149,7,1434
864,1950.0,2640,7,1240
530,1970.0,1682,7,1304
878,2005.0,2098,8,1030
360,1965.0,864,5,864
530,1969.0,1968,5,784
480,1986.0,1097,6,1040
528,2005.0,1196,6,684
451,1958.0,1920,5,1052
576,1987.0,1728,5,1728
577,2002.0,2031,8,1128
297,1956.0,1196,6,1196
360,1941.0,803,5,720
462,1969.0,1620,5,780
1134,2005.0,2097,8,2077
617,2007.0,1869,9,1869
431,1998.0,1886,7,930
308,1958.0,480,2,480
516,1967.0,1296,4,0
288,1958.0,816,4,816
478,1978.0,1601,7,1271
451,2000.0,1792,6,936
796,1993.0,2520,8,1338
796,1959.0,1144,5,1144
621,1998.0,2601,5,612
312,1939.0,1577,6,972
624,1996.0,970,5,970
513,1965.0,2036,7,2136
440,1969.0,1026,6,1026
0,,698,5,698
576,1975.0,1533,7,1533
660,1991.0,1382,5,720
530,2004.0,1391,7,1391
240,1950.0,1078,5,1078
471,2001.0,1296,8,1267
301,1958.0,1442,6,1442
0,,1964,5,940
644,2009.0,1502,7,1502
458,1957.0,1392,6,1392
0,,1768,4,1768
390,1964.0,1582,5,1624
301,1960.0,958,6,958
600,1985.0,894,5,894
402,1999.0,1224,6,1224
846,2008.0,2332,10,1682
430,2004.0,1269,8,1256
712,2006.0,1776,8,1732
390,2005.0,1456,6,728
539,1954.0,1194,6,655
240,1953.0,1008,5,1008
430,2005.0,1555,7,1373
180,1914.0,1784,5,747
280,1930.0,1108,7,637
400,2007.0,1394,5,384
496,1988.0,1714,7,980
294,1959.0,882,5,0
0,,1306,3,728
288,1980.0,1217,6,626
299,1996.0,990,5,990
691,2004.0,2452,8,1117
420,2003.0,848,6,848
300,1930.0,1369,6,672
676,2009.0,1218,6,1218
672,1993.0,2555,6,588
550,2005.0,1247,8,1247
619,1977.0,2872,6,1330
482,2008.0,1652,8,1600
546,1977.0,1844,6,1844
689,2005.0,1971,7,1113
463,2000.0,1800,6,982
574,1993.0,1949,7,1050
0,,630,4,630
530,2002.0,1494,7,1494
0,,968,3,600
508,2005.0,1274,7,1274
364,1955.0,1520,6,1156
528,1977.0,1285,6,660
393,2003.0,1509,7,783
550,1976.0,1935,7,793
0,,816,6,816
555,2003.0,1200,7,1176
548,1958.0,1470,4,941
528,1960.0,1656,6,1080
240,1924.0,792,5,768
818,2007.0,1694,8,1694
765,2002.0,1800,8,1800
560,1945.0,2337,5,662
315,1949.0,1846,6,1040
576,1981.0,1026,6,940
408,1966.0,904,5,876
484,1977.0,1126,5,1126
872,2004.0,2468,8,1136
540,1969.0,988,6,938
288,1968.0,1052,5,1052
0,,1096,6,572
484,2005.0,1141,6,1141
484,1972.0,1790,6,732
660,1999.0,1852,8,1004
0,,754,6,520
513,1916.0,1344,5,624
576,1970.0,2207,7,1947
360,1908.0,2358,6,907
831,1994.0,2715,8,1142
484,2005.0,1364,7,1364
402,1995.0,1253,7,1237
528,1963.0,1328,6,1328
286,1960.0,1422,5,978
486,1965.0,1986,7,768
192,1916.0,952,6,952
500,2006.0,1660,8,1660
1166,2009.0,2234,9,2216
160,1925.0,790,6,768
396,2007.0,1340,7,1340
480,1977.0,1610,6,1610
600,1977.0,2620,5,1361
438,2005.0,1248,7,1248
288,1962.0,912,6,912
472,1998.0,1638,6,943
1356,1975.0,1622,4,1249
180,1945.0,2320,6,1028
456,1961.0,1144,5,1144
281,1968.0,1520,5,793
472,1964.0,1516,6,1516
675,2006.0,1498,7,1498
560,2001.0,1961,6,804
440,2006.0,1456,7,728
349,1940.0,2403,7,1032
708,2003.0,1944,9,1896
474,2005.0,1368,7,1368
588,1999.0,1790,7,873
858,2008.0,2713,9,1452
312,1948.0,1271,5,720
604,1988.0,1872,7,1845
577,1984.0,2090,7,1190
546,1998.0,1796,6,794
436,2007.0,1302,7,1302
542,1981.0,2524,8,2524
338,1967.0,1374,4,840
474,2003.0,1626,7,764
240,1940.0,1034,5,735
588,2003.0,1518,8,1518
240,1951.0,1818,7,1040
598,1998.0,1661,7,1649
432,1977.0,1991,6,854
324,1930.0,1482,7,650
564,1985.0,1742,8,1742
280,1955.0,1250,5,686
528,1985.0,1176,6,816
506,1992.0,1915,8,908
240,1940.0,1595,6,940
377,1955.0,1661,6,992
552,2009.0,1935,8,832
534,2002.0,1795,8,1777
434,2003.0,1928,7,847
336,1968.0,1159,5,1051
440,1978.0,1456,6,855
431,1939.0,1954,7,798
880,2005.0,2028,8,1868
665,1976.0,2898,8,1565
663,2000.0,1674,7,814
0,,974,5,974
586,2002.0,1989,8,1065
678,1993.0,2097,7,1080
500,1990.0,1442,7,1424
720,1970.0,1130,5,1120
240,1925.0,1820,7,1026
583,1972.0,2119,6,689
666,2006.0,2576,8,1234
0,,1020,5,780
779,1920.0,1774,4,1095
0,,904,1,683
490,2000.0,1382,7,673
840,1993.0,3608,10,1107
205,1930.0,2210,6,1008
373,1995.0,1572,6,806
739,1971.0,1824,7,1643
304,1968.0,1056,5,1056
392,1965.0,1221,5,784
504,1961.0,1362,6,1362
420,2004.0,848,6,848
527,2001.0,1434,7,1454
628,2007.0,1208,7,1208
566,1950.0,1466,5,796
691,1994.0,1987,8,1986
983,1993.0,2418,7,1311
626,2008.0,1314,7,1314
380,2004.0,1709,7,970
0,,1218,6,672
0,,3395,6,1440
0,,1200,5,1200
297,1958.0,912,5,912
832,1994.0,4316,10,2444
548,2003.0,1710,7,856
656,2003.0,2374,8,1181
234,1941.0,1564,7,704
528,1959.0,1466,5,1466
292,1960.0,1383,6,1383
410,1979.0,1535,5,0
576,1996.0,990,5,990
240,1941.0,1646,7,918
440,1910.0,1928,6,1020
550,1979.0,1725,7,539
541,1992.0,2872,8,1683
576,1969.0,2112,6,952
240,1936.0,1324,4,672
480,2005.0,1200,7,600
468,1964.0,1344,5,672
500,2003.0,1668,7,840
400,1949.0,1040,3,0
576,2005.0,900,5,900
812,1948.0,1559,5,1559
248,1954.0,948,4,864
264,1980.0,923,6,923
782,2005.0,1552,7,1552
642,1998.0,1717,7,756
440,1968.0,1721,5,1461
264,1973.0,987,6,483
521,1995.0,1200,6,1200
281,1949.0,1716,5,768
336,1973.0,894,5,894
336,1960.0,1771,5,0
528,1974.0,1173,7,1053
576,1997.0,1287,5,1063
459,1974.0,1382,4,1051
721,1995.0,2520,7,1203
297,1958.0,1215,6,1215
844,1994.0,2526,8,1165
480,2004.0,1200,7,600
560,1976.0,1728,5,1728
480,1990.0,1710,7,576
870,1997.0,2392,8,1396
457,1993.0,1744,7,996
562,2007.0,1665,7,813
792,2007.0,2696,7,1264
528,1974.0,864,4,864
234,1941.0,672,4,672
564,1966.0,1320,5,1164
440,1977.0,958,6,1078
550,2004.0,1710,7,1710
502,1965.0,1265,5,1219
400,2003.0,1456,8,1273
576,1995.0,1539,5,927
766,1989.0,1959,7,1907
0,,1522,5,1008
0,,1124,5,0
484,1973.0,2090,7,1107
461,1965.0,1214,5,1214
454,1955.0,1779,5,1763
808,2002.0,1629,8,1616
627,2006.0,1554,8,1554
642,1997.0,2236,7,964
0,,796,4,796
308,1960.0,1680,6,840
420,2003.0,848,6,848
528,1976.0,1142,5,1142
564,1960.0,1252,6,1602
564,2005.0,1684,9,1684
888,2004.0,2000,8,2000
834,2005.0,1616,7,1616
531,2001.0,1872,8,1299
225,1928.0,1576,5,1042
575,1989.0,1982,7,807
276,1950.0,988,5,876
620,2005.0,1844,8,1844
528,1971.0,1258,6,1258
500,1996.0,1288,8,1260
866,2006.0,1634,8,1626
440,1974.0,1322,6,855
403,2004.0,1414,8,707
478,1996.0,1504,7,1504
690,2006.0,1670,7,1670
518,1974.0,2167,7,1192
440,1977.0,1069,6,1069
525,2005.0,1072,6,547
995,1963.0,1572,5,1572
456,1963.0,1869,5,1088
0,,882,4,882
676,2005.0,1922,9,1922
352,1973.0,780,5,780
300,1958.0,1601,5,533
430,2005.0,1530,7,1530
0,,833,5,833
308,1981.0,1183,3,649
260,1962.0,1040,5,1040
1052,2006.0,2828,8,1466
288,1950.0,1252,6,1032
305,1959.0,1246,5,1246
180,1926.0,904,6,884
416,1961.0,1652,5,686
288,1949.0,1268,5,832
342,1929.0,1913,6,896
484,2010.0,1358,7,1358
484,1970.0,1657,6,1657
275,1961.0,838,6,816
390,1999.0,2060,7,992
474,2003.0,1626,7,764
299,1969.0,1352,6,663
240,1941.0,1376,5,768
240,1939.0,1660,6,715
432,2007.0,1412,6,616
216,1906.0,1469,6,756
400,2000.0,1430,7,384
495,1953.0,1094,6,1094
758,2005.0,1826,8,1814
576,2003.0,924,5,672
528,1985.0,1502,8,1488
603,1997.0,1688,6,616
572,2006.0,1262,6,1262
788,2006.0,1905,9,1905
541,1998.0,2031,7,1153
478,1974.0,1350,6,1064
613,2003.0,1829,7,941
300,1979.0,965,5,828
280,1941.0,924,4,672
905,2001.0,2263,8,1055
540,1935.0,2108,6,1127
528,1973.0,1242,7,1242
240,1935.0,1573,4,884
434,2001.0,2035,7,884
516,1984.0,1232,6,1232
483,1976.0,1964,7,803
0,,1140,4,576
450,1967.0,894,5,894
619,1968.0,2654,6,1054
396,1974.0,768,5,768
0,,912,4,0
504,1969.0,2080,5,1040
576,2000.0,1040,5,1040
216,1926.0,1616,6,1149
273,1954.0,1047,4,641
484,1957.0,1803,5,1134
528,1962.0,832,6,832
384,1966.0,894,5,894
189,1920.0,1192,5,596
772,2004.0,1850,9,1833
288,1967.0,899,5,864
264,1966.0,892,5,864
506,1900.0,2291,6,1214
360,1910.0,2138,5,849
470,1997.0,1604,6,926
422,2006.0,2021,7,868
308,1977.0,938,5,938
216,1925.0,1426,7,912
400,1948.0,1920,5,928
260,1955.0,1098,5,1098
0,,729,3,270
528,1960.0,1252,6,1252
792,1967.0,1584,5,1584
592,2008.0,1506,9,1498
506,1999.0,1709,9,1698
299,1957.0,1092,5,1092
758,2006.0,1746,9,1746
667,1953.0,2287,7,1304
200,1926.0,789,5,768
270,1959.0,1041,5,1041
431,2002.0,1908,8,967
390,2002.0,2267,6,1010
180,1931.0,875,5,715
364,1957.0,1526,5,1216
714,1977.0,1567,6,1567
1020,2009.0,2822,9,1734
360,1928.0,1378,7,689
368,1920.0,1738,4,715
521,1988.0,2060,6,1151
286,1954.0,1128,5,936
440,2004.0,1720,7,840
338,1956.0,1050,5,1050
576,2004.0,1114,6,1114
750,1998.0,1053,5,1008
682,2001.0,1593,8,1593
318,1967.0,1214,5,1214
264,1982.0,816,5,816
400,1979.0,1535,5,0
795,1918.0,3112,8,1360
685,2006.0,1919,8,1079
672,1995.0,1097,5,1097
423,1989.0,1750,6,983
288,1972.0,987,6,483
576,1979.0,981,6,981
447,1959.0,1700,5,1398
308,1957.0,816,5,816
622,2001.0,1840,7,944
576,1973.0,2521,6,942
902,1973.0,1002,5,1002
294,1950.0,841,4,721
564,1992.0,996,6,936
856,2004.0,1713,8,1713
576,1988.0,1412,6,1392
923,1957.0,1236,6,912
648,1963.0,1040,4,1064
608,1995.0,1616,8,1595
601,1990.0,1414,6,1184
576,1997.0,1950,7,975
490,1989.0,1086,5,1086
528,1923.0,1576,5,1324
624,1987.0,768,5,768
676,1972.0,1381,6,1161
647,2002.0,2169,8,1284
287,1955.0,720,3,0
520,1920.0,2792,6,1510
576,1974.0,936,4,936
588,1974.0,1181,4,1138
954,2007.0,1689,7,1689
280,1956.0,948,4,948
440,2000.0,1512,6,756
450,1968.0,894,5,894
644,2009.0,1852,7,900
290,1957.0,845,4,0
0,,774,3,544
666,1996.0,3238,8,2033
632,2007.0,1232,7,1232
528,1969.0,1164,7,1164
160,1957.0,1248,5,912
572,1966.0,1687,5,747
440,2002.0,1960,6,860
286,1970.0,1092,4,546
400,1999.0,894,4,894
558,2003.0,1479,7,1453
270,1968.0,1060,5,1060
484,2004.0,1436,7,1436
504,1952.0,1044,5,540
320,1914.0,1768,7,880
432,2002.0,816,6,816
400,2000.0,1430,7,384
303,1955.0,1867,5,1617
648,2006.0,1500,7,1356
